port_ID	port_name	lat	lon	buffer_in_KM	buffer_out_KM	Timezone	Shift1	Shift2	Shift3	Shift4	Shift5	Shift6	Shift7	Shift8	Shift9	ToUTC1	ToUTC2	ToUTC3	ToUTC4	ToUTC5	ToUTC6	ToUTC7	ToUTC8	ToUTC9	locode
1022	+ûckero			24.1402	24.1402																				
3057	+ûrnsk+¦ldsvik			24.1402	24.1402																				
2200	Ã?cker			24.1402	24.1402																				
431	Aaheim			24.1402	24.1402																				
1023	Aalborg			24.1402	24.1402																				
49	Aalesund	62.46831842	6.136913099	24.1402	24.1402	Europe/Oslo	2015-03-29 03:00:00	2015-10-25 02:00:00	2016-03-27 03:00:00	2016-10-30 02:00:00	2017-03-26 03:00:00	2017-10-29 02:00:00	2018-03-25 03:00:00	2018-10-28 02:00:00	2019-03-31 03:00:00	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	NOAES
62	Aarhus	56.15339996	10.23904335	12.23	12.23	Europe/Copenhagen	2015-03-29 03:00:00	2015-10-25 02:00:00	2016-03-27 03:00:00	2016-10-30 02:00:00	2017-03-26 03:00:00	2017-10-29 02:00:00	2018-03-25 03:00:00	2018-10-28 02:00:00	2019-03-31 03:00:00	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	DKAAR
1024	Abbot Point			24.1402	24.1402																				
848	Aberdeen			24.1402	24.1402																				
201	Abidjan	5.3	-4.03333333333	135.99	135.99	Africa/Abidjan	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	CIABJ
2234	Abu Dhabi	24.4821	54.502135	24.1402	24.1402	Asia/Dubai	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	AEAUH
1025	Abu Qir			24.1402	24.1402																				
1026	Abu Zenima			24.1402	24.1402																				
1027	Aburatsu			24.1402	24.1402																				
849	Acajutla			24.1402	24.1402																				
1028	Acajutla Offshore Terminal			24.1402	24.1402																				
1029	Acapulco			24.1402	24.1402																				
1030	Acu			24.1402	24.1402																				
812	Adabiya			24.1402	24.1402																				
1031	Adamas Milos			24.1402	24.1402																				
1032	Adang Bay Offshore Coal Terminal			24.1402	24.1402																				
237	Adelaide	-34.76843478	138.4904468	58.58	58.58	Australia/Adelaide	2015-04-05 02:00:00	2015-10-04 03:00:00	2016-04-03 02:00:00	2016-10-02 03:00:00	2017-04-02 02:00:00	2017-10-01 03:00:00	2018-04-01 02:00:00	2018-10-07 03:00:00	2019-04-07 02:00:00	-10.5	-9.5	-10.5	-9.5	-10.5	-9.5	-10.5	-9.5	-10.5	AUADL
1033	Adelaide Bahamas			24.1402	24.1402																				
299	Aden	12.80342667	44.99461442	11.59	11.59	Asia/Aden	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	YEADE
1034	Aegina			24.1402	24.1402																				
